goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,feedback_x,feedback_y,feedback_z,feedback_roll,feedback_pitch,feedback_yaw
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1821,-0.0008,0.2804,-2.983,1.429,-2.948
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0481,0.2897,0.2181,-3.12,1.124,-3.053
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1765,-0.0005,0.288,-2.856,1.448,-2.824
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2235,0.2943,0.1737,-3.017,1.121,-2.986
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2179,0.2961,0.1616,-2.97,1.086,-2.941
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2156,0.2969,0.1546,-3.015,1.089,-3.027
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2493,0.2692,0.1605,1.704,1.492,-3.006
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1873,0.0054,0.2826,-2.952,1.429,-2.859
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1767,-0.0005,0.288,-2.849,1.452,-2.812
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1794,-0.0003,0.2846,-2.908,1.441,-2.878
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.05,0.2896,0.2189,3.141,1.13,-3.079
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2123,0.3007,0.1759,-3.087,1.151,-3.06
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2154,0.2975,0.1554,-3.005,1.097,-2.998
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2207,0.2971,0.1614,-3.039,1.125,-3.035
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2497,0.2696,0.1604,1.633,1.497,-3.082
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1861,0.0045,0.2829,-2.937,1.435,-2.853
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0005,0.2881,-2.836,1.457,-2.8
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1852,0.0001,0.2764,-2.952,1.441,-2.927
-0.0105,-0.3329,0.1348,3.029,1.513,3.12,-0.0096,-0.3327,0.1422,-3.115,1.511,-3.061
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1798,-0.0148,0.2864,-2.829,1.452,-2.88
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0005,0.2881,-2.829,1.457,-2.8
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2291,0.2856,0.1835,-3.067,1.147,-3.042
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.217,0.2977,0.1591,-3.014,1.096,-2.995
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2191,0.2975,0.1591,-3.04,1.116,-3.039
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2497,0.2697,0.1609,1.6,1.499,-3.111
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1812,0.001,0.2849,-2.878,1.45,-2.825
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0002,0.2881,-2.835,1.458,-2.794
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1798,-0.0003,0.2842,-2.887,1.45,-2.86
