Ned_ID,IR_detection,id,goal,feedback
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1821, y = -0.0008, z = 0.2804
roll = -2.983, pitch = 1.429, yaw = -2.948"
Ned2 n.1,0,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0481, y = 0.2897, z = 0.2181
roll = -3.120, pitch = 1.124, yaw = -3.053"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1765, y = -0.0005, z = 0.2880
roll = -2.856, pitch = 1.448, yaw = -2.824"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2235, y = 0.2943, z = 0.1737
roll = -3.017, pitch = 1.121, yaw = -2.986"
Ned2 n.1,0,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2179, y = 0.2961, z = 0.1616
roll = -2.970, pitch = 1.086, yaw = -2.941"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2156, y = 0.2969, z = 0.1546
roll = -3.015, pitch = 1.089, yaw = -3.027"
Ned2 n.1,0,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2493, y = 0.2692, z = 0.1605
roll = 1.704, pitch = 1.492, yaw = -3.006"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1873, y = 0.0054, z = 0.2826
roll = -2.952, pitch = 1.429, yaw = -2.859"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1767, y = -0.0005, z = 0.2880
roll = -2.849, pitch = 1.452, yaw = -2.812"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1794, y = -0.0003, z = 0.2846
roll = -2.908, pitch = 1.441, yaw = -2.878"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0500, y = 0.2896, z = 0.2189
roll = 3.141, pitch = 1.130, yaw = -3.079"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2123, y = 0.3007, z = 0.1759
roll = -3.087, pitch = 1.151, yaw = -3.060"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2154, y = 0.2975, z = 0.1554
roll = -3.005, pitch = 1.097, yaw = -2.998"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2207, y = 0.2971, z = 0.1614
roll = -3.039, pitch = 1.125, yaw = -3.035"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2497, y = 0.2696, z = 0.1604
roll = 1.633, pitch = 1.497, yaw = -3.082"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1861, y = 0.0045, z = 0.2829
roll = -2.937, pitch = 1.435, yaw = -2.853"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1769, y = -0.0005, z = 0.2881
roll = -2.836, pitch = 1.457, yaw = -2.800"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1852, y = 0.0001, z = 0.2764
roll = -2.952, pitch = 1.441, yaw = -2.927"
Ned2 n.1,1,Build_point_0,"[-0.0105, -0.3329, 0.1348, 3.029, 1.513, 3.12]","x = -0.0096, y = -0.3327, z = 0.1422
roll = -3.115, pitch = 1.511, yaw = -3.061"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1798, y = -0.0148, z = 0.2864
roll = -2.829, pitch = 1.452, yaw = -2.880"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1769, y = -0.0005, z = 0.2881
roll = -2.829, pitch = 1.457, yaw = -2.800"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2291, y = 0.2856, z = 0.1835
roll = -3.067, pitch = 1.147, yaw = -3.042"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2170, y = 0.2977, z = 0.1591
roll = -3.014, pitch = 1.096, yaw = -2.995"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2191, y = 0.2975, z = 0.1591
roll = -3.040, pitch = 1.116, yaw = -3.039"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2497, y = 0.2697, z = 0.1609
roll = 1.600, pitch = 1.499, yaw = -3.111"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1812, y = 0.0010, z = 0.2849
roll = -2.878, pitch = 1.450, yaw = -2.825"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0002, z = 0.2881
roll = -2.835, pitch = 1.458, yaw = -2.794"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1798, y = -0.0003, z = 0.2842
roll = -2.887, pitch = 1.450, yaw = -2.860"
Ned2 n.1,1,Build_point_1,"[-0.0628, -0.3349, 0.1343, 2.988, 1.481, -3.1]","x = -0.0617, y = -0.3348, z = 0.1393
roll = 3.000, pitch = 1.481, yaw = -3.118"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1783, y = -0.0078, z = 0.2871
roll = -2.820, pitch = 1.460, yaw = -2.832"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1769, y = -0.0002, z = 0.2881
roll = -2.833, pitch = 1.455, yaw = -2.802"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2246, y = 0.2938, z = 0.1758
roll = -3.051, pitch = 1.137, yaw = -3.017"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2119, y = 0.2976, z = 0.1501
roll = -2.997, pitch = 1.075, yaw = -2.997"
